"id","score","grade","grade_criteria","grade_criteria5","grade_criteria10","credit_y1","sex_m1","exmath","absp","social","club"
1,76,"B","(70,80]","(75,80]","(70,80]",1,0,69,0,40,0
2,88,"A","(80,90]","(85,90]","(80,90]",1,0,79,0.12,44,1
3,83,"A","(80,90]","(80,85]","(80,90]",1,0,73,0,43,1
4,94,"S","(90,100]","(90,95]","(90,100]",1,0,77,0,51,1
5,80,"B","(70,80]","(75,80]","(70,80]",1,0,66,0,43,1
6,80,"B","(70,80]","(75,80]","(70,80]",1,0,73,0,35,0
7,59,"F","[0,60]","(55,60]","(50,60]",0,0,53,0.05,33,0
8,66,"C","(60,70]","(65,70]","(60,70]",1,1,64,0.84,39,0
9,73,"B","(70,80]","(70,75]","(70,80]",1,0,55,0.63,41,1
10,73,"B","(70,80]","(70,75]","(70,80]",1,0,55,0.41,49,1
11,58,"F","[0,60]","(55,60]","(50,60]",0,1,46,0.34,41,0
12,67,"C","(60,70]","(65,70]","(60,70]",1,0,53,0,37,0
13,78,"B","(70,80]","(75,80]","(70,80]",1,1,55,0,48,1
14,84,"A","(80,90]","(80,85]","(80,90]",1,0,75,0,33,0
15,61,"C","(60,70]","(60,65]","(60,70]",1,1,43,0.26,40,0
16,79,"B","(70,80]","(75,80]","(70,80]",1,1,52,0,30,0
17,86,"A","(80,90]","(85,90]","(80,90]",1,0,57,0,45,1
18,74,"B","(70,80]","(70,75]","(70,80]",1,0,52,0.7,50,1
19,75,"B","(70,80]","(70,75]","(70,80]",1,0,47,0.04,46,1
20,76,"B","(70,80]","(75,80]","(70,80]",1,1,76,0.44,39,1
21,89,"A","(80,90]","(85,90]","(80,90]",1,0,79,0,36,1
22,71,"B","(70,80]","(70,75]","(70,80]",1,1,37,0,44,1
23,85,"A","(80,90]","(80,85]","(80,90]",1,0,78,0.37,46,1
24,87,"A","(80,90]","(85,90]","(80,90]",1,0,65,0,36,1
25,77,"B","(70,80]","(75,80]","(70,80]",1,0,72,0.16,34,0
26,80,"B","(70,80]","(75,80]","(70,80]",1,0,71,0,42,1
27,76,"B","(70,80]","(75,80]","(70,80]",1,1,66,0.24,40,1
28,65,"C","(60,70]","(60,65]","(60,70]",1,1,47,0,44,0
29,69,"C","(60,70]","(65,70]","(60,70]",1,1,65,0.55,41,1
30,66,"C","(60,70]","(65,70]","(60,70]",1,0,56,0,39,0
31,77,"B","(70,80]","(75,80]","(70,80]",1,0,58,0,45,1
32,72,"B","(70,80]","(70,75]","(70,80]",1,1,55,0.21,35,0
33,66,"C","(60,70]","(65,70]","(60,70]",1,0,68,0.43,36,0
34,74,"B","(70,80]","(70,75]","(70,80]",1,0,58,0,53,1
35,70,"C","(60,70]","(65,70]","(60,70]",1,1,54,0.11,43,1
36,90,"A","(80,90]","(85,90]","(80,90]",1,0,78,0,41,1
37,79,"B","(70,80]","(75,80]","(70,80]",1,0,57,0.38,44,1
38,71,"B","(70,80]","(70,75]","(70,80]",1,1,55,0.41,42,1
39,79,"B","(70,80]","(75,80]","(70,80]",1,1,67,0,37,0
40,62,"C","(60,70]","(60,65]","(60,70]",1,0,52,0.3,39,0
41,72,"B","(70,80]","(70,75]","(70,80]",1,1,68,0.44,43,1
